,name,x,y
0,Республика Адыгея (Адыгея),-416.0,-70.0
1,Республика Алтай,-58.0,-195.0
2,Республика Башкортостан,-248.0,-61.0
3,Республика Бурятия,123.0,-163.0
4,Республика Дагестан,-391.0,-143.0
5,Республика Ингушетия,-399.0,-113.0
6,Кабардино-Балкарская Республика,-408.0,-102.0
7,Республика Калмыкия,-369.0,-87.0
8,Карачаево-Черкесская Республика,-413.0,-87.0
9,Республика Карелия,-257.0,120.0
10,Республика Коми,-184.0,40.0
11,Республика Крым,-438.0,-22.0
12,Республика Марий Эл,-271.0,-3.0
13,Республика Мордовия,-309.0,-6.0
14,Республика Саха (Якутия),173.0,8.0
15,Республика Северная Осетия – Алания,-406.0,-112.0
16,Республика Татарстан (Татарстан),-268.0,-25.0
17,Республика Тыва,7.0,-191.0
18,Удмуртская Республика,-243.0,-21.0
19,Республика Хакасия,-30.0,-164.0
20,Чеченская Республика,-394.0,-117.0
21,Чувашская Республика – Чувашия,-286.0,-9.0
22,Алтайский край,-89.0,-165.0
23,Забайкальский край,169.0,-175.0
24,Камчатский край,399.0,23.0
25,Краснодарский край,-418.0,-53.0
26,Красноярский край,15.0,-20.0
27,Пермский край,-212.0,-13.0
28,Приморский край,337.0,-207.0
29,Ставропольский край,-395.0,-87.0
30,Хабаровский край,312.0,-130.0
31,Амурская область,245.0,-134.0
32,Архангельская область,-227.0,82.0
33,Астраханская область,-352.0,-96.0
34,Белгородская область,-370.0,-2.0
35,Брянская область,-370.0,47.0
36,Владимирская область,-310.0,23.0
37,Волгоградская область,-277.0,64.0
38,Вологодская область,-276.0,64.0
39,Воронежская область,-357.0,-13.0
40,Ивановская область,-292.0,31.0
41,Иркутская область,62.0,-143.0
42,Калининградская область,-384.0,129.0
43,Калужская область,-346.0,41.0
44,Кемеровская область,-48.0,-140.0
45,Кировская область,-249.0,3.0
46,Костромская область,-276.0,34.0
47,Курганская область,-193.0,-81.0
48,Курская область,-370.0,23.0
49,Ленинградская область,-294.0,100.0
50,Липецкая область,-348.0,9.0
51,Магаданская область,309.0,51.0
52,Московская область,-324.0,33.0
53,Мурманская область,-201.0,141.0
54,Нижегородская область,-292.0,9.0
55,Новгородская область,-317.0,88.0
56,Новосибирская область,-97.0,-123.0
57,Омская область,-137.0,-105.0
58,Оренбургская область,-273.0,-81.0
59,Орловская область,-357.0,27.0
60,Пензенская область,-319.0,-17.0
61,Псковская область,-337.0,102.0
62,Ростовская область,-386.0,-48.0
63,Рязанская область,-324.0,12.0
64,Самарская область,-288.0,-49.0
65,Саратовская область,-317.0,-45.0
66,Сахалинская область,375.0,-114.0
67,Свердловская область,-187.0,-44.0
68,Смоленская область,-351.0,62.0
69,Тамбовская область,-336.0,-7.0
70,Тверская область,-320.0,68.0
71,Томская область,-76.0,-91.0
72,Тульская область,-341.0,28.0
73,Тюменская область,-157.0,-71.0
74,Ульяновская область,-297.0,-25.0
75,Челябинская область,-220.0,-79.0
76,Ярославская область,-297.0,53.0
77,Город Москва,-327.0,43.0
78,Город Санкт-Петербург,-307.0,115.0
79,Город Севастополь,-449.0,-24.0
80,Еврейская автономная область,300.0,-172.0
81,Ненецкий автономный округ,-151.0,75.0
82,Ханты-Мансийский автономный округ – Югра,-135.0,-25.0
83,Чукотский автономный округ,322.0,162.0
